ID Variant;category;name;Brand Name;Basic - Price;In Stock;Track Stock;Track Alert;Track Cost;Cost Amount
97069882;tembakau mole;madu gold;Unbranded;8000;1;Yes;Yes;Yes;5000
97069889;tembakau mole;madu prima;Unbranded;13000;1;Yes;Yes;Yes;8600
97069893;tembakau mole;madu silver;Unbranded;13000;1;Yes;Yes;Yes;8600
97071033;tembakau mole;gunting kuning kecil;Unbranded;8000;10;Yes;Yes;Yes;5212
97254100;rokok sampoerna;sampoerna mild 12;Unbranded;25000;4;Yes;Yes;Yes;23828
97254103;rokok sampoerna;sampoerna mild 16;Unbranded;32500;10;Yes;Yes;Yes;31164
97254152;tembakau mole;guntur sidmadu pink;Unbranded;8000;-1;Yes;Yes;Yes;4000
97254163;tembakau mole;arumanis;Unbranded;12000;5;Yes;Yes;Yes;8600
97254187;tembakau mole;gunting gold sedang;Unbranded;12000;-5;Yes;Yes;Yes;8600
97254188;tembakau mole;gunting biru besar;Unbranded;15000;0;Yes;Yes;Yes;12000
97254189;tembakau mole;manalagih;Unbranded;13000;3;Yes;Yes;Yes;10000
97254190;tembakau mole;Rmild;Unbranded;13000;8;Yes;Yes;Yes;9248
97254192;tembakau mole;AA hijau;Unbranded;7000;1;Yes;Yes;Yes;4000
97254193;tembakau mole;AA merah;Unbranded;7000;-1;Yes;Yes;Yes;4000
97254194;tembakau mole;marleboro hitam hijau;Unbranded;7000;1;Yes;Yes;Yes;3756
97254195;tembakau mole;marleboro merah putih;Unbranded;7000;16;Yes;Yes;Yes;3750
97254196;tembakau mole;kias mole biru;Unbranded;7000;16;Yes;Yes;Yes;3750
97254198;tembakau mole;kias mole putih;Unbranded;7000;10;Yes;Yes;Yes;3900
97254204;tembakau mole;class mole biru;Unbranded;7000;4;Yes;Yes;Yes;4000
97254205;tembakau mole;class mole bold;Unbranded;7000;31;Yes;Yes;Yes;3944
97254207;tembakau mole;surya pertiwi;Unbranded;7000;-2;Yes;Yes;Yes;5000
97254208;tembakau mole;mangga manis;Unbranded;7000;0;Yes;Yes;Yes;9000
97254209;tembakau mole;rasio medium;Unbranded;8000;35;Yes;Yes;Yes;5288
97254211;tembakau mole;cap nona merah kecil;Unbranded;7000;-1;Yes;Yes;Yes;4600
97254213;tembakau mole;cap nona hitam kecil;Unbranded;7000;16;Yes;Yes;Yes;4800
97254215;tembakau mole;class berry;Unbranded;6500;-6;Yes;Yes;Yes;3250
97254216;tembakau mole;black honay;Unbranded;7000;1;Yes;Yes;Yes;4000
97254217;tembakau mole;virginia 235;Unbranded;6500;3;Yes;Yes;Yes;4000
97254223;tembakau original;gayo hijau;Unbranded;11000;0;No;No;Yes;5125
97254224;tembakau original;gayo hijau;Unbranded;21000;0;No;No;Yes;10250
97254225;tembakau original;gayo hijau;Unbranded;40000;0;No;No;Yes;20500
97254229;tembakau original;kemloko;Unbranded;7000;0;No;No;Yes;3150
97254230;tembakau original;kemloko;Unbranded;13000;0;No;No;Yes;6300
97254231;tembakau original;kemloko;Unbranded;25000;0;No;No;Yes;12600
97254234;tembakau original;kayumas;Unbranded;9000;0;No;No;Yes;3750
97254235;tembakau original;kayumas;Unbranded;16000;0;No;No;Yes;7500
97254236;tembakau original;kayumas;Unbranded;30000;0;No;No;Yes;15000
97254237;tembakau original;lamsi;Unbranded;10000;0;No;No;Yes;4250
97254238;tembakau original;lamsi;Unbranded;18000;0;No;No;Yes;8500
97254239;tembakau original;lamsi;Unbranded;35000;0;No;No;Yes;17000
97254240;tembakau original;gading beringin;Unbranded;9000;0;No;No;Yes;4000
97254241;tembakau original;gading beringin;Unbranded;16000;0;No;No;Yes;8000
97254242;tembakau original;gading beringin;Unbranded;30000;0;No;No;Yes;16000
97254250;tembakau original;boyolali alus;Unbranded;7000;0;No;No;Yes;2250
97254251;tembakau original;boyolali alus;Unbranded;13000;0;No;No;Yes;4500
97254252;tembakau original;boyolali alus;Unbranded;25000;0;No;No;Yes;9000
97254256;tembakau original;cigasti;Unbranded;6000;0;No;No;Yes;3000
97254257;tembakau original;cigasti;Unbranded;11000;0;No;No;Yes;6000
97254258;tembakau original;cigasti;Unbranded;20000;0;No;No;Yes;12000
97254262;tembakau original;kasturi super;Unbranded;9000;0;No;No;Yes;3875
97254263;tembakau original;kasturi super;Unbranded;16000;0;No;No;Yes;7750
97254264;tembakau original;kasturi super;Unbranded;30000;0;No;No;Yes;15500
97254268;tembakau original;kasturi;Unbranded;8000;0;No;No;Yes;3250
97254269;tembakau original;kasturi;Unbranded;15000;0;No;No;Yes;6500
97254270;tembakau original;kasturi;Unbranded;29000;0;No;No;Yes;13000
97254276;tembakau original;tambeng;Unbranded;7000;0;No;No;Yes;3000
97254277;tembakau original;tambeng;Unbranded;13000;0;No;No;Yes;6000
97254278;tembakau original;tambeng;Unbranded;25000;0;No;No;Yes;12000
97254297;cengkeh;cengkeh menjangan;Unbranded;1500;150;Yes;Yes;Yes;1000
